# qaId	example4	example5
103103c39659	pumped milk storage at child care	where should staff keep breast milk during the day
fc64571d67a6	sids prevention daycare rules	what does daycare require to reduce sids risk
76d56c941d7c	stuffed toy in crib allowed	can infants sleep with stuffed animals
4f0a94b127c2	how many seconds for handwashing	exact wash time requirement
fd51cd1e952e	infant fever definition	what temp counts as fever in a baby
41543a55523a	family home ages three to twelve capacity	working alone family home older child capacity
6e98e2bc67af	family home school age children capacity	school age kids allowed in family home care
6d9f62809ee7	evacuation drill frequency	how often should daycare practice evacuations
830e456a6465	outdoor play space requirement per child	required outdoor square footage per child
08dd0ecc0f97	ever okay to leave kids unsupervised	can children ever be without direct supervision
65d3b8c19725	daycare staff giving medicine rule	can daycare administer a child's medication
56b91ebf1383	food holding temp rule	required temperature for keeping food safe
ae64bcfb9dac	leftovers safe storage length	how long can stored leftovers still be eaten
34ad3b646e16	formula throw away rule	when do you have to dump prepared formula
0654aba74e14	fence height for outdoor child care	required playground fence height
2892cfa92b87	put infants to sleep how	required way to lay a baby down to sleep
90b6c091301d	blanket in crib allowed or banned	do infant cribs have to stay free of blankets
5108eb006a56	family home infants per caregiver ratio	required family home infant staffing ratio
31c75b4ed12d	family home second staff rule	when must family child care have two staff
dadc57d79f4a	background checks mandatory for staff	do daycare employees all need background checks
49f945c41edb	send home temperature child	what temperature means a child cannot stay
d1e78a705aec	staff handwashing required times	when exactly must staff wash hands
d449a9f8e9f3	medication storage location rule	where must medicine be kept in daycare
6952938b7d01	indoor space per child rule	how much inside space does each child need
2e3b3705f31a	outdoor space per child rule	how much playground space is required per child
86d0632ff7c5	required fire drill frequency	how often does daycare have to do fire drills
323ad16b0958	physical punishment rule daycare	can staff use physical punishment on children
