# qaId	example1	example2	example3
950da987738d	How long can breast milk sit out?	how long is breast milk good at room temperature	breast milk left out when does it need to be discarded
103103c39659	where should expressed breast milk be kept at daycare	how does daycare store breast milk properly	what is the proper storage setup for breast milk at daycare
fc64571d67a6	What are the SIDS prevention requirements?	what rules help prevent sids at daycare	sids prevention requirements for infants
76d56c941d7c	Can babies sleep with stuffed animals?	are stuffed animals allowed in an infant crib	can babies have toys in the crib while sleeping
4f0a94b127c2	How long should you wash hands?	how many seconds do you wash hands for at daycare	handwashing how long is required
fd51cd1e952e	What temperature is considered a fever for infants?	what temperature counts as a fever in an infant	infant fever threshold at daycare
41543a55523a	How many children ages three to twelve can a family home provider care for when working alone?	family home working alone capacity for ages three to twelve	how many older children can one family home provider have
6e98e2bc67af	How many school-age children can one family home provider care for?	how many school age children can a family home provider have	family home school age capacity
6d9f62809ee7	How often should evacuation drills be practiced?	how frequently does daycare need evacuation drills	evacuation drill frequency requirement
853b9bb5954f	Do children need to play outside every day?	are children required to go outside daily	must daycare include outdoor play every day
08dd0ecc0f97	Can children ever be left unsupervised?	is unsupervised time ever allowed for children	can kids ever be without staff supervision
65d3b8c19725	Can daycare staff give my child medicine?	can staff administer medicine to my child	is daycare allowed to give a child medication
56b91ebf1383	What temperature should food be kept at?	what temperature range is safe for holding food	food holding temperature requirement
ae64bcfb9dac	How long are leftovers safe to eat?	how long can leftovers be kept before they are unsafe	leftovers safe for how many days
34ad3b646e16	What is the formula disposal rule?	what is the rule for throwing out prepared formula	when must prepared formula be discarded
0654aba74e14	What is the fence height requirement?	required height for a daycare fence	how tall does the child care fence need to be
2892cfa92b87	How should infants be put to sleep?	how must a baby be placed to sleep at daycare	proper sleep placement for infants
90b6c091301d	Are blankets allowed in cribs?	can a blanket be kept in an infant crib	crib blanket rule for babies
5108eb006a56	What is the infant caregiver ratio in family home child care?	family home infant ratio with two staff present	how many infants can a family home provider care for with two staff
31c75b4ed12d	When are two staff required in family home child care?	when does a family home need a second staff person	what child mix requires two staff in family home care
dadc57d79f4a	Do daycare workers need background checks?	do child care employees need background checks	are background checks mandatory for daycare workers
49f945c41edb	At what temperature should a child be sent home?	what temperature means a child must go home from daycare	send home temperature for a child
d1e78a705aec	When must staff wash their hands?	when are staff required to wash hands at daycare	mandatory staff handwashing times
d449a9f8e9f3	Where should medication be stored?	where does daycare need to keep medicine	medication storage location at daycare
6952938b7d01	How much space per child indoors?	how much indoor space is required for each child	indoor square footage per child rule
2e3b3705f31a	How much outdoor space is required per child?	how much outdoor play space is needed for each child	outdoor square footage required per child
86d0632ff7c5	How often must fire drills be practiced?	how often are fire drills required in daycare	fire drill frequency for child care
323ad16b0958	Is physical punishment allowed?	is physical punishment permitted in daycare	can daycare use physical punishment
