# qaId	example6	example7	example8
73386fda6a08	how many hours of annual training do staff need	continuing education hours for daycare employees	ongoing in service training frequency rule
d3f8e3e1d7b4	which people may actually administer medication	who is authorized to give a dose to a child	at daycare who can give medicine to children
ea00305ca2ac	parent permission and label rules for giving medicine	what paperwork is needed before daycare gives medication	medication administration requirements for child care
65d3b8c19725	can a provider give my child prescription medicine	is daycare allowed to administer medicine with permission	can staff give medicine if parents signed the form
044f6efdd66f	how must medicine be stored and separated	medication storage safety requirements	where should internal and external medications be kept
9822e22bd02c	is written consent enough for sunscreen each year	do parents have to authorize sunscreen annually	can staff apply sunscreen only with parent permission
6f8f2ced4b98	do all ratio staff need first aid and cpr training	is pediatric first aid part of required certification	first aid requirement for child care staff counted in ratio
0ed88af8e1ec	do teachers need current cpr cards for child care	is pediatric cpr certification mandatory for staff	cpr certificate requirement for daycare teachers
b16313103db0	what supplies must stay in the first aid kit	required contents list for child care first aid	box items needed in the daycare first aid kit
b5ea7cd5d7f2	can an infant have a blanket in the crib during nap time	are crib blankets banned for sleeping babies	do cribs have to stay free of blankets
90b6c091301d	blanket in an infant crib allowed yes or no	crib bedding rule for babies	are loose blankets prohibited in infant sleep spaces
9cae79e8085a	do babies have to be laid on their backs	back sleeping requirement for infants	proper infant sleep position in child care
2892cfa92b87	how should staff place a baby down for sleep	put baby on back or another position	required placement when laying infants down
af7b0d5db8d8	how often must providers visually check sleeping infants	fifteen minute infant sleep checks required	sleeping baby monitoring interval
eede0d24dd7d	full infant safe sleep rules at daycare	what does safe sleep compliance include for infants	complete checklist for infant sleep safety
01e73db75939	are wedges or infant positioners banned	can a baby sleep with a positioning device	sleep positioner allowance in daycare
76d56c941d7c	are stuffed animals allowed in infant cribs	can babies sleep with toys in the crib	crib toy prohibition for sleeping infants
4ac10461152a	bottle sat out after feeding when must it be dumped	room temperature bottle time limit	formula bottle left out discard timing
d4e8032f81c8	when does prepared formula have to be thrown out	formula expiration after mixing at daycare	how long is prepared formula usable
2e430158ee7b	can i refrigerate the rest of a bottle after the child drank from it	partially used bottle can it go back in the fridge	unfinished bottle save for later or throw away
34ad3b646e16	formula bottle discard rule after one hour	when exactly must leftover formula be discarded	one hour bottle rule for daycare
1492bdeaadf9	do bottles have to be boiled or sanitized before use	bottle cleaning and sanitizing requirements	how should staff sanitize bottles and nipples
fc2dd026b031	approved ways to warm infant bottles	bottle warmer versus running water rule	how can staff warm a bottle safely
5b4e06afe07a	is it prohibited to microwave bottles	can formula bottles go in the microwave	microwave rule for warming baby bottles
445169fff0e7	how far from diapering must bottle prep be	bottle prep separation from changing table	eight foot rule for bottle area
0ec6a3acb3d7	does breast milk need the child's name and received date on it	breast milk labeling and refrigeration rules	how should expressed milk be labeled and stored
103103c39659	where do staff keep expressed breast milk during the day	breast milk storage handling at child care	proper breast milk storage in daycare
6e98e2bc67af	family home school age capacity when working alone	how many school age children can one home provider have	max school age kids in family home care
0cb3bf89aebc	center ratio for school age classroom	how many school age kids per teacher in a center	school age classroom ratio one to fifteen
5108eb006a56	family home infant ratio with two staff present	how many infants can a home caregiver watch	family home caregiver ratio for infants
8307282bf05d	center infant room ratio requirement	infant classroom ratio in a center	how many infants per teacher in a center
096eb1b0b855	what is the infant maximum group size in a center	how many infants can be in one center group	center infant group size cap
